data,timeStamp,dataType,units,sensorType,supervisorID
218.3240787,03/22/2020-17:38:38,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04325,03/22/2020-17:38:38,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:39,Temperature,C,BME280,2
35.05,03/22/2020-23:38:39,Humidity,%,BME280,2
840.43,03/22/2020-23:38:39,Pressure,hPa,BME280,2
1550.4,03/22/2020-23:38:39,Elevation,m,BME280,2
218.3240787,03/22/2020-17:38:39,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04325,03/22/2020-17:38:39,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:40,Temperature,C,BME280,2
35.08,03/22/2020-23:38:40,Humidity,%,BME280,2
840.4,03/22/2020-23:38:40,Pressure,hPa,BME280,2
1550.1,03/22/2020-23:38:40,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:40,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:40,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:41,Temperature,C,BME280,2
35.03,03/22/2020-23:38:41,Humidity,%,BME280,2
840.39,03/22/2020-23:38:41,Pressure,hPa,BME280,2
1549.79,03/22/2020-23:38:41,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:41,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:41,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:42,Temperature,C,BME280,2
34.96,03/22/2020-23:38:42,Humidity,%,BME280,2
840.57,03/22/2020-23:38:42,Pressure,hPa,BME280,2
1548.44,03/22/2020-23:38:42,Elevation,m,BME280,2
217.0620899,03/22/2020-17:38:42,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:38:42,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:43,Temperature,C,BME280,2
34.85,03/22/2020-23:38:43,Humidity,%,BME280,2
840.5,03/22/2020-23:38:43,Pressure,hPa,BME280,2
1549.06,03/22/2020-23:38:43,Elevation,m,BME280,2
217.0620899,03/22/2020-17:38:43,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:38:43,raw Voltage,V,ADC1115_Pyra,1
217.6930843,03/22/2020-17:38:44,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:44,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:44,Temperature,C,BME280,2
34.79,03/22/2020-23:38:44,Humidity,%,BME280,2
840.46,03/22/2020-23:38:44,Pressure,hPa,BME280,2
1550.63,03/22/2020-23:38:44,Elevation,m,BME280,2
218.3240787,03/22/2020-17:38:45,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04325,03/22/2020-17:38:45,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:46,Temperature,C,BME280,2
35.06,03/22/2020-23:38:46,Humidity,%,BME280,2
840.54,03/22/2020-23:38:46,Pressure,hPa,BME280,2
1548.18,03/22/2020-23:38:46,Elevation,m,BME280,2
218.3240787,03/22/2020-17:38:46,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04325,03/22/2020-17:38:46,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:47,Temperature,C,BME280,2
35.06,03/22/2020-23:38:47,Humidity,%,BME280,2
840.69,03/22/2020-23:38:47,Pressure,hPa,BME280,2
1547.41,03/22/2020-23:38:47,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:47,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:47,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:48,Temperature,C,BME280,2
34.89,03/22/2020-23:38:48,Humidity,%,BME280,2
840.55,03/22/2020-23:38:48,Pressure,hPa,BME280,2
1548.47,03/22/2020-23:38:48,Elevation,m,BME280,2
217.0620899,03/22/2020-17:38:49,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:38:49,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:49,Temperature,C,BME280,2
35,03/22/2020-23:38:49,Humidity,%,BME280,2
840.57,03/22/2020-23:38:49,Pressure,hPa,BME280,2
1548.39,03/22/2020-23:38:49,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:50,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:50,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:50,Temperature,C,BME280,2
34.96,03/22/2020-23:38:50,Humidity,%,BME280,2
840.65,03/22/2020-23:38:50,Pressure,hPa,BME280,2
1547.72,03/22/2020-23:38:50,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:51,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:51,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:52,Temperature,C,BME280,2
34.81,03/22/2020-23:38:52,Humidity,%,BME280,2
840.55,03/22/2020-23:38:52,Pressure,hPa,BME280,2
1548.33,03/22/2020-23:38:52,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:52,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:52,raw Voltage,V,ADC1115_Pyra,1
217.6930843,03/22/2020-17:38:53,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:53,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:53,Temperature,C,BME280,2
35,03/22/2020-23:38:53,Humidity,%,BME280,2
840.53,03/22/2020-23:38:53,Pressure,hPa,BME280,2
1548.67,03/22/2020-23:38:53,Elevation,m,BME280,2
217.0620899,03/22/2020-17:38:54,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:38:54,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:54,Temperature,C,BME280,2
34.96,03/22/2020-23:38:54,Humidity,%,BME280,2
840.55,03/22/2020-23:38:54,Pressure,hPa,BME280,2
1548.95,03/22/2020-23:38:54,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:55,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:55,raw Voltage,V,ADC1115_Pyra,1
17.68,03/22/2020-23:38:55,Temperature,C,BME280,2
34.94,03/22/2020-23:38:55,Humidity,%,BME280,2
840.59,03/22/2020-23:38:55,Pressure,hPa,BME280,2
1548.08,03/22/2020-23:38:55,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:56,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:56,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:56,Temperature,C,BME280,2
34.89,03/22/2020-23:38:56,Humidity,%,BME280,2
840.57,03/22/2020-23:38:56,Pressure,hPa,BME280,2
1548.48,03/22/2020-23:38:56,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:57,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:57,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:57,Temperature,C,BME280,2
34.79,03/22/2020-23:38:57,Humidity,%,BME280,2
840.5,03/22/2020-23:38:57,Pressure,hPa,BME280,2
1549.09,03/22/2020-23:38:57,Elevation,m,BME280,2
217.6930843,03/22/2020-17:38:58,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043125,03/22/2020-17:38:58,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:38:59,Temperature,C,BME280,2
35.03,03/22/2020-23:38:59,Humidity,%,BME280,2
840.53,03/22/2020-23:38:59,Pressure,hPa,BME280,2
1548.39,03/22/2020-23:38:59,Elevation,m,BME280,2
215.800101,03/22/2020-17:38:59,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:38:59,raw Voltage,V,ADC1115_Pyra,1
217.0620899,03/22/2020-17:39:00,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:39:00,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:39:00,Temperature,C,BME280,2
34.87,03/22/2020-23:39:00,Humidity,%,BME280,2
840.4,03/22/2020-23:39:00,Pressure,hPa,BME280,2
1550.39,03/22/2020-23:39:00,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:01,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:01,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:39:01,Temperature,C,BME280,2
34.96,03/22/2020-23:39:01,Humidity,%,BME280,2
840.5,03/22/2020-23:39:01,Pressure,hPa,BME280,2
1548.71,03/22/2020-23:39:01,Elevation,m,BME280,2
217.0620899,03/22/2020-17:39:02,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:39:02,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:39:02,Temperature,C,BME280,2
34.75,03/22/2020-23:39:02,Humidity,%,BME280,2
840.33,03/22/2020-23:39:02,Pressure,hPa,BME280,2
1551.26,03/22/2020-23:39:02,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:03,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:03,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:03,Temperature,C,BME280,2
34.96,03/22/2020-23:39:03,Humidity,%,BME280,2
840.53,03/22/2020-23:39:03,Pressure,hPa,BME280,2
1548.85,03/22/2020-23:39:03,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:04,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:04,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:39:04,Temperature,C,BME280,2
34.94,03/22/2020-23:39:04,Humidity,%,BME280,2
840.44,03/22/2020-23:39:04,Pressure,hPa,BME280,2
1549.19,03/22/2020-23:39:04,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:05,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:05,raw Voltage,V,ADC1115_Pyra,1
17.67,03/22/2020-23:39:06,Temperature,C,BME280,2
34.89,03/22/2020-23:39:06,Humidity,%,BME280,2
840.45,03/22/2020-23:39:06,Pressure,hPa,BME280,2
1550.02,03/22/2020-23:39:06,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:06,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:06,raw Voltage,V,ADC1115_Pyra,1
216.4310954,03/22/2020-17:39:07,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:07,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:07,Temperature,C,BME280,2
34.97,03/22/2020-23:39:07,Humidity,%,BME280,2
840.46,03/22/2020-23:39:07,Pressure,hPa,BME280,2
1549.85,03/22/2020-23:39:07,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:08,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:08,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:08,Temperature,C,BME280,2
35.03,03/22/2020-23:39:08,Humidity,%,BME280,2
840.46,03/22/2020-23:39:08,Pressure,hPa,BME280,2
1549.95,03/22/2020-23:39:08,Elevation,m,BME280,2
217.0620899,03/22/2020-17:39:09,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:39:09,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:09,Temperature,C,BME280,2
34.79,03/22/2020-23:39:09,Humidity,%,BME280,2
840.38,03/22/2020-23:39:09,Pressure,hPa,BME280,2
1550.36,03/22/2020-23:39:09,Elevation,m,BME280,2
217.0620899,03/22/2020-17:39:10,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:39:10,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:10,Temperature,C,BME280,2
34.9,03/22/2020-23:39:10,Humidity,%,BME280,2
840.55,03/22/2020-23:39:10,Pressure,hPa,BME280,2
1548.72,03/22/2020-23:39:10,Elevation,m,BME280,2
217.0620899,03/22/2020-17:39:11,solar irradiance,w/m^2,ADC1115_Pyra,1
0.043,03/22/2020-17:39:11,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:12,Temperature,C,BME280,2
34.73,03/22/2020-23:39:12,Humidity,%,BME280,2
840.59,03/22/2020-23:39:12,Pressure,hPa,BME280,2
1548.4,03/22/2020-23:39:12,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:12,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:12,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:13,Temperature,C,BME280,2
34.81,03/22/2020-23:39:13,Humidity,%,BME280,2
840.51,03/22/2020-23:39:13,Pressure,hPa,BME280,2
1549.49,03/22/2020-23:39:13,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:13,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:13,raw Voltage,V,ADC1115_Pyra,1
215.800101,03/22/2020-17:39:14,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:14,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:14,Temperature,C,BME280,2
34.96,03/22/2020-23:39:14,Humidity,%,BME280,2
840.29,03/22/2020-23:39:14,Pressure,hPa,BME280,2
1550.43,03/22/2020-23:39:14,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:15,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:15,raw Voltage,V,ADC1115_Pyra,1
17.66,03/22/2020-23:39:15,Temperature,C,BME280,2
34.9,03/22/2020-23:39:15,Humidity,%,BME280,2
840.43,03/22/2020-23:39:15,Pressure,hPa,BME280,2
1549.49,03/22/2020-23:39:15,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:16,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:16,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:16,Temperature,C,BME280,2
34.85,03/22/2020-23:39:16,Humidity,%,BME280,2
840.57,03/22/2020-23:39:16,Pressure,hPa,BME280,2
1548.5,03/22/2020-23:39:16,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:17,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:17,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:17,Temperature,C,BME280,2
34.92,03/22/2020-23:39:17,Humidity,%,BME280,2
840.65,03/22/2020-23:39:17,Pressure,hPa,BME280,2
1547.59,03/22/2020-23:39:17,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:18,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:18,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:19,Temperature,C,BME280,2
34.94,03/22/2020-23:39:19,Humidity,%,BME280,2
840.54,03/22/2020-23:39:19,Pressure,hPa,BME280,2
1548.86,03/22/2020-23:39:19,Elevation,m,BME280,2
216.4310954,03/22/2020-17:39:19,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042875,03/22/2020-17:39:19,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:20,Temperature,C,BME280,2
34.79,03/22/2020-23:39:20,Humidity,%,BME280,2
840.57,03/22/2020-23:39:20,Pressure,hPa,BME280,2
1548.88,03/22/2020-23:39:20,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:20,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:20,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:21,Temperature,C,BME280,2
34.82,03/22/2020-23:39:21,Humidity,%,BME280,2
840.6,03/22/2020-23:39:21,Pressure,hPa,BME280,2
1548.19,03/22/2020-23:39:21,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:21,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:21,raw Voltage,V,ADC1115_Pyra,1
215.800101,03/22/2020-17:39:22,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:22,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:22,Temperature,C,BME280,2
34.93,03/22/2020-23:39:22,Humidity,%,BME280,2
840.3,03/22/2020-23:39:22,Pressure,hPa,BME280,2
1550.58,03/22/2020-23:39:22,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:23,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:23,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:23,Temperature,C,BME280,2
34.7,03/22/2020-23:39:23,Humidity,%,BME280,2
840.54,03/22/2020-23:39:23,Pressure,hPa,BME280,2
1548.35,03/22/2020-23:39:23,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:24,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:24,raw Voltage,V,ADC1115_Pyra,1
17.64,03/22/2020-23:39:24,Temperature,C,BME280,2
34.91,03/22/2020-23:39:24,Humidity,%,BME280,2
840.55,03/22/2020-23:39:24,Pressure,hPa,BME280,2
1548.3,03/22/2020-23:39:24,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:25,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:25,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:26,Temperature,C,BME280,2
34.97,03/22/2020-23:39:26,Humidity,%,BME280,2
840.49,03/22/2020-23:39:26,Pressure,hPa,BME280,2
1549.44,03/22/2020-23:39:26,Elevation,m,BME280,2
215.800101,03/22/2020-17:39:26,solar irradiance,w/m^2,ADC1115_Pyra,1
0.04275,03/22/2020-17:39:26,raw Voltage,V,ADC1115_Pyra,1
17.65,03/22/2020-23:39:27,Temperature,C,BME280,2
34.96,03/22/2020-23:39:27,Humidity,%,BME280,2
840.51,03/22/2020-23:39:27,Pressure,hPa,BME280,2
1548.32,03/22/2020-23:39:27,Elevation,m,BME280,2
215.1691065,03/22/2020-17:39:27,solar irradiance,w/m^2,ADC1115_Pyra,1
0.042625,03/22/2020-17:39:27,raw Voltage,V,ADC1115_Pyra,1
